Id,Population Group,Id,Id2,Geography,Average family size
1,Total population,1580000US3651000005022800,3651000005022800,"Census Tract 228, Bronx County, New York city, New York",3.15
1,Total population,1580000US3651000005022901,3651000005022901,"Census Tract 229.01, Bronx County, New York city, New York",3.56
1,Total population,1580000US3651000005022902,3651000005022902,"Census Tract 229.02, Bronx County, New York city, New York",3.5
1,Total population,1580000US3651000005023000,3651000005023000,"Census Tract 230, Bronx County, New York city, New York",3.35
1,Total population,1580000US3651000005023100,3651000005023100,"Census Tract 231, Bronx County, New York city, New York",3.56
1,Total population,1580000US3651000005023200,3651000005023200,"Census Tract 232, Bronx County, New York city, New York",3.39
1,Total population,1580000US3651000005023301,3651000005023301,"Census Tract 233.01, Bronx County, New York city, New York",3.55
1,Total population,1580000US3651000005023302,3651000005023302,"Census Tract 233.02, Bronx County, New York city, New York",3.64
1,Total population,1580000US3651000005023400,3651000005023400,"Census Tract 234, Bronx County, New York city, New York",3.38
1,Total population,1580000US3651000005023501,3651000005023501,"Census Tract 235.01, Bronx County, New York city, New York",3.59
1,Total population,1580000US3651000005023502,3651000005023502,"Census Tract 235.02, Bronx County, New York city, New York",3.53
1,Total population,1580000US3651000005023600,3651000005023600,"Census Tract 236, Bronx County, New York city, New York",3.47
1,Total population,1580000US3651000005023701,3651000005023701,"Census Tract 237.01, Bronx County, New York city, New York",3.62
1,Total population,1580000US3651000005023702,3651000005023702,"Census Tract 237.02, Bronx County, New York city, New York",3.86
1,Total population,1580000US3651000005023900,3651000005023900,"Census Tract 239, Bronx County, New York city, New York",3.61
1,Total population,1580000US3651000005024000,3651000005024000,"Census Tract 240, Bronx County, New York city, New York",3.47
1,Total population,1580000US3651000005024100,3651000005024100,"Census Tract 241, Bronx County, New York city, New York",3.67
1,Total population,1580000US3651000005024200,3651000005024200,"Census Tract 242, Bronx County, New York city, New York",3.92
1,Total population,1580000US3651000005024300,3651000005024300,"Census Tract 243, Bronx County, New York city, New York",3.62
1,Total population,1580000US3651000005024400,3651000005024400,"Census Tract 244, Bronx County, New York city, New York",3.22
1,Total population,1580000US3651000005024500,3651000005024500,"Census Tract 245, Bronx County, New York city, New York",3.67
1,Total population,1580000US3651000005024600,3651000005024600,"Census Tract 246, Bronx County, New York city, New York",3.21
1,Total population,1580000US3651000005024700,3651000005024700,"Census Tract 247, Bronx County, New York city, New York",3.42
1,Total population,1580000US3651000005024800,3651000005024800,"Census Tract 248, Bronx County, New York city, New York",3
1,Total population,1580000US3651000005024900,3651000005024900,"Census Tract 249, Bronx County, New York city, New York",5.71
1,Total population,1580000US3651000005025000,3651000005025000,"Census Tract 250, Bronx County, New York city, New York",3.01
1,Total population,1580000US3651000005025100,3651000005025100,"Census Tract 251, Bronx County, New York city, New York",3.64
