Neighborhoods,MSE,x,y,Avg_Familysize,Avg_ENG,Avg_School,Avg_Income
turtle-bay,0.000253,-73.977907,40.741026,2.47000000,4922.52941176,43.35294118,0.42499092
clinton-hill,0.002656,-73.975667,40.739027,2.47000000,4922.52941176,43.35294118,0.42499092
greenpoint,0.001549,-73.933452,40.692698,3.43205882,3028.97058824,76.70588235,0.76517695
fordham,0.000267,-73.881512,40.872508,3.26090909,5100.09090909,71.72727273,0.73119489
ocean-hill,0.000105,-73.922850,40.679417,3.36333333,3584.31481481,85.44444444,0.75423747
stuy-town,0.000005,-73.977918,40.733941,2.72700000,6119.60000000,73.40000000,0.52384567
east-village,0.000078,-73.983068,40.735044,2.49250000,6161.68750000,64.18750000,0.39709387
cypress-hills,0.000035,-73.878128,40.682729,3.78000000,2964.00000000,62.86363636,0.69849700
woodhaven,0.000031,-73.853778,40.693663,3.66653846,2751.88461538,40.23076923,0.58592543
belmont,0.000020,-73.884834,40.855067,3.49000000,4772.36363636,78.27272727,0.84892191
tremont-east-tremont,0.000088,-73.894795,40.836272,3.30391304,3848.06521739,72.45652174,0.74361993
norwood,0.000095,-73.881105,40.887075,3.30391304,3848.06521739,72.45652174,0.74361993
country-club,0.000300,-73.815149,40.858537,3.30391304,3848.06521739,72.45652174,0.74361993
olinville,0.000341,-73.877198,40.863654,3.30391304,3848.06521739,72.45652174,0.74361993
upper-east-side,4.999656,-72.071338,41.950124,3.30391304,3848.06521739,72.45652174,0.74361993
pelham-parkway,0.000028,-73.857913,40.859160,3.19384615,3211.84615385,49.46153846,0.72310075
eastchester,0.000149,-73.835402,40.883230,3.35352941,3818.35294118,61.76470588,0.58275344
pelham-gardens,0.000067,-73.845656,40.863255,3.19714286,2782.80952381,39.33333333,0.58605830
morningside-heights,0.000039,-73.966036,40.810479,2.98800000,7715.40000000,115.40000000,0.60266969
west-harlem,0.000304,-73.959113,40.801978,2.98800000,7715.40000000,115.40000000,0.60266969
hamilton-heights,0.000696,-73.962413,40.802342,2.98800000,7715.40000000,115.40000000,0.60266969
new-springville,0.000054,-74.163409,40.593190,3.27714286,4357.00000000,81.85714286,0.39606795
willowbrook,0.000055,-74.146632,40.599319,3.27714286,4357.00000000,81.85714286,0.39606795
concord,0.000191,-74.101802,40.606671,3.18888889,4433.11111111,79.66666667,0.44474037
fort-george,0.000027,-73.933564,40.857271,3.38117647,7199.35294118,95.58823529,0.72373411
hudson-heights,0.000284,-73.949380,40.844344,3.51125000,7255.37500000,102.62500000,0.73468706
howard-beach,0.000254,-73.857069,40.662122,3.40000000,4727.00000000,83.00000000,0.57254117
bensonhurst,0.008987,-73.910689,40.647486,3.44025641,2355.48717949,59.30769231,0.54628217
rosebank,0.000002,-74.071037,40.611690,3.37933333,3262.26666667,58.93333333,0.59162446
tompkinsville,0.000023,-74.082781,40.633950,3.37933333,3262.26666667,58.93333333,0.59162446
stapleton,0.000091,-74.081395,40.619062,3.37933333,3262.26666667,58.93333333,0.59162446
grymes-hill,0.000039,-74.091795,40.621151,3.31250000,3521.93750000,68.12500000,0.52579282
