Id,Population Group,Id,Id2,Geography,Total:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
1,Total population,1580000US3651000005019500,3651000005019500,"Census Tract 195, Bronx County, New York city, New York",2350,666,273,208,220,109,119,81,147,69,131,166,102,18,27,9,5
1,Total population,1580000US3651000005019600,3651000005019600,"Census Tract 196, Bronx County, New York city, New York",147,15,5,5,14,6,33,14,29,0,5,5,12,0,0,4,0
1,Total population,1580000US3651000005019700,3651000005019700,"Census Tract 197, Bronx County, New York city, New York",2219,612,221,128,177,192,182,195,102,61,150,106,40,20,0,0,33
1,Total population,1580000US3651000005019800,3651000005019800,"Census Tract 198, Bronx County, New York city, New York",1322,240,98,119,112,129,78,81,116,22,96,80,112,35,0,4,0
1,Total population,1580000US3651000005019900,3651000005019900,"Census Tract 199, Bronx County, New York city, New York",2603,715,257,234,210,199,227,149,100,107,166,126,73,35,5,0,0
1,Total population,1580000US3651000005020100,3651000005020100,"Census Tract 201, Bronx County, New York city, New York",1110,327,108,87,100,92,119,21,38,54,47,54,42,9,3,9,0
1,Total population,1580000US3651000005020200,3651000005020200,"Census Tract 202, Bronx County, New York city, New York",698,106,83,45,59,35,21,52,42,19,38,30,86,46,36,0,0
1,Total population,1580000US3651000005020400,3651000005020400,"Census Tract 204, Bronx County, New York city, New York",1024,126,104,61,17,120,100,49,44,34,116,102,94,37,17,3,0
1,Total population,1580000US3651000005020500,3651000005020500,"Census Tract 205, Bronx County, New York city, New York",3328,1031,308,231,232,257,202,164,136,191,141,182,133,72,0,13,35
1,Total population,1580000US3651000005020601,3651000005020601,"Census Tract 206.01, Bronx County, New York city, New York",833,214,52,32,58,63,41,60,23,33,65,43,69,21,26,33,0
