Id,Population Group,Id,Id2,Geography,Total:,Income in 1999 below poverty level:,Income in 1999 below poverty level: - Male:,Income in 1999 below poverty level: - Male: - 15 years,Income in 1999 below poverty level: - Male: - 16 and 17 years,Income in 1999 below poverty level: - Male: - 18 to 24 years,Income in 1999 below poverty level: - Male: - 25 to 34 years,Income in 1999 below poverty level: - Male: - 35 to 44 years,Income in 1999 below poverty level: - Male: - 45 to 54 years,Income in 1999 below poverty level: - Male: - 55 to 64 years,Income in 1999 below poverty level: - Male: - 65 to 74 years,Income in 1999 below poverty level: - Male: - 75 years and over,Income in 1999 below poverty level: - Female:,Income in 1999 below poverty level: - Female: - 15 years,Income in 1999 below poverty level: - Female: - 16 and 17 years,Income in 1999 below poverty level: - Female: - 18 to 24 years,Income in 1999 below poverty level: - Female: - 25 to 34 years,Income in 1999 below poverty level: - Female: - 35 to 44 years,Income in 1999 below poverty level: - Female: - 45 to 54 years,Income in 1999 below poverty level: - Female: - 55 to 64 years,Income in 1999 below poverty level: - Female: - 65 to 74 years,Income in 1999 below poverty level: - Female: - 75 years and over,Income in 1999 at or above poverty level:,Income in 1999 at or above poverty level: - Male:,Income in 1999 at or above poverty level: - Male: - 15 years,Income in 1999 at or above poverty level: - Male: - 16 and 17 years,Income in 1999 at or above poverty level: - Male: - 18 to 24 years,Income in 1999 at or above poverty level: - Male: - 25 to 34 years,Income in 1999 at or above poverty level: - Male: - 35 to 44 years,Income in 1999 at or above poverty level: - Male: - 45 to 54 years,Income in 1999 at or above poverty level: - Male: - 55 to 64 years,Income in 1999 at or above poverty level: - Male: - 65 to 74 years,Income in 1999 at or above poverty level: - Male: - 75 years and over,Income in 1999 at or above poverty level: - Female:,Income in 1999 at or above poverty level: - Female: - 15 years,Income in 1999 at or above poverty level: - Female: - 16 and 17 years,Income in 1999 at or above poverty level: - Female: - 18 to 24 years,Income in 1999 at or above poverty level: - Female: - 25 to 34 years,Income in 1999 at or above poverty level: - Female: - 35 to 44 years,Income in 1999 at or above poverty level: - Female: - 45 to 54 years,Income in 1999 at or above poverty level: - Female: - 55 to 64 years,Income in 1999 at or above poverty level: - Female: - 65 to 74 years,Income in 1999 at or above poverty level: - Female: - 75 years and over
1,Total population,1580000US3651000005007700,3651000005007700,"Census Tract 77, Bronx County, New York city, New York",181,99,75,0,0,30,0,7,0,28,4,6,24,0,0,11,0,0,0,8,5,0,82,34,0,0,8,10,0,7,3,6,0,48,0,0,0,0,0,41,7,0,0
1,Total population,1580000US3651000005007800,3651000005007800,"Census Tract 78, Bronx County, New York city, New York",847,242,93,0,17,11,13,20,21,11,0,0,149,0,15,16,10,64,22,9,0,13,605,337,0,0,23,71,94,36,54,23,36,268,0,0,46,49,8,45,8,84,28
1,Total population,1580000US3651000005007900,3651000005007900,"Census Tract 79, Bronx County, New York city, New York",1581,894,451,0,9,13,66,144,110,49,15,45,443,0,5,20,70,129,51,33,72,63,687,449,0,0,79,66,70,55,84,67,28,238,0,0,0,36,6,20,73,39,64
1,Total population,1580000US3651000005008300,3651000005008300,"Census Tract 83, Bronx County, New York city, New York",843,431,169,0,0,14,24,42,46,43,0,0,262,0,0,42,33,54,28,35,41,29,412,281,0,0,26,92,48,49,57,0,9,131,0,0,5,22,27,39,23,0,15
1,Total population,1580000US3651000005008400,3651000005008400,"Census Tract 84, Bronx County, New York city, New York",156,54,38,0,0,16,0,11,6,5,0,0,16,0,0,0,10,0,6,0,0,0,102,80,0,0,0,26,7,0,29,18,0,22,0,0,0,0,0,5,9,8,0
1,Total population,1580000US3651000005008500,3651000005008500,"Census Tract 85, Bronx County, New York city, New York",1101,668,268,0,22,55,29,71,35,22,25,9,400,13,7,82,35,98,95,19,35,16,433,275,0,0,7,94,81,60,33,0,0,158,0,0,51,8,23,22,18,8,28
1,Total population,1580000US3651000005008600,3651000005008600,"Census Tract 86, Bronx County, New York city, New York",580,331,121,0,5,6,37,27,10,15,17,4,210,0,7,6,44,10,26,48,16,53,249,91,0,0,0,20,29,27,0,15,0,158,0,0,0,0,26,12,18,69,33
1,Total population,1580000US3651000005008700,3651000005008700,"Census Tract 87, Bronx County, New York city, New York",440,218,78,0,0,22,10,10,7,4,18,7,140,0,10,3,18,0,39,19,36,15,222,158,0,0,10,16,48,35,25,24,0,64,0,0,10,11,21,0,15,7,0
1,Total population,1580000US3651000005008800,3651000005008800,"Census Tract 88, Bronx County, New York city, New York",256,133,92,7,0,27,6,0,22,23,7,0,41,0,0,0,0,8,5,11,11,6,123,39,0,0,0,5,7,0,15,12,0,84,0,0,0,14,6,12,17,21,14
1,Total population,1580000US3651000005008900,3651000005008900,"Census Tract 89, Bronx County, New York city, New York",526,289,98,0,0,0,0,52,8,0,18,20,191,0,0,23,7,26,13,13,33,76,237,115,0,0,9,9,14,65,7,7,4,122,0,5,0,0,0,31,13,53,20
1,Total population,1580000US3651000005009200,3651000005009200,"Census Tract 92, Bronx County, New York city, New York",785,218,130,0,0,33,18,15,26,28,10,0,88,0,0,0,18,15,15,9,25,6,567,296,0,0,19,53,95,73,24,22,10,271,0,0,26,90,63,26,15,22,29
1,Total population,1580000US3651000005009400,3651000005009400,"Census Tract 94, Bronx County, New York city, New York",166,37,26,0,0,0,5,21,0,0,0,0,11,0,0,0,0,0,0,11,0,0,129,63,0,0,16,9,10,13,0,15,0,66,0,0,0,22,20,8,8,0,8
1,Total population,1580000US3651000005009800,3651000005009800,"Census Tract 98, Bronx County, New York city, New York",658,201,66,0,0,0,0,16,0,34,16,0,135,0,0,28,0,36,28,8,18,17,457,145,0,0,0,28,55,38,0,0,24,312,0,0,15,19,28,54,74,53,69
1,Total population,1580000US3651000005009900,3651000005009900,"Census Tract 99, Bronx County, New York city, New York",732,418,185,0,0,0,35,54,46,37,8,5,233,0,19,52,17,69,6,46,24,0,314,218,0,0,28,80,72,24,0,14,0,96,0,0,21,6,6,7,33,9,14
1,Total population,1580000US3651000005011501,3651000005011501,"Census Tract 115.01, Bronx County, New York city, New York",244,111,72,0,0,9,17,32,0,14,0,0,39,0,0,10,5,0,0,12,0,12,133,50,0,0,7,18,0,11,5,9,0,83,0,0,0,11,14,4,17,24,13
1,Total population,1580000US3651000005011502,3651000005011502,"Census Tract 115.02, Bronx County, New York city, New York",781,475,150,4,0,30,0,60,15,22,19,0,325,0,0,63,84,48,88,16,13,13,306,172,0,0,16,64,21,32,22,11,6,134,0,0,29,22,8,14,20,7,34
1,Total population,1580000US3651000005011800,3651000005011800,"Census Tract 118, Bronx County, New York city, New York",665,61,26,0,0,0,0,0,19,7,0,0,35,0,0,0,5,6,8,9,0,7,604,291,0,0,43,75,59,35,0,53,26,313,0,0,28,21,49,36,32,47,100
1,Total population,1580000US3651000005011900,3651000005011900,"Census Tract 119, Bronx County, New York city, New York",685,339,140,0,0,5,10,25,33,26,22,19,199,5,0,0,76,13,25,36,24,20,346,177,0,0,19,23,60,36,8,23,8,169,0,4,13,16,7,18,36,32,43
1,Total population,1580000US3651000005012101,3651000005012101,"Census Tract 121.01, Bronx County, New York city, New York",390,176,90,0,0,0,26,0,36,23,5,0,86,0,6,14,17,30,0,0,13,6,214,134,0,0,0,57,42,17,7,11,0,80,0,0,7,25,13,12,19,0,4
1,Total population,1580000US3651000005012102,3651000005012102,"Census Tract 121.02, Bronx County, New York city, New York",145,48,5,0,5,0,0,0,0,0,0,0,43,0,0,0,7,0,0,25,4,7,97,44,0,0,0,0,18,26,0,0,0,53,5,0,8,14,0,0,8,11,7
1,Total population,1580000US3651000005012300,3651000005012300,"Census Tract 123, Bronx County, New York city, New York",472,308,120,0,0,0,25,40,12,35,8,0,188,0,21,0,39,35,24,3,43,23,164,102,0,0,6,48,19,7,0,22,0,62,0,0,0,23,0,6,0,7,26
1,Total population,1580000US3651000005012500,3651000005012500,"Census Tract 125, Bronx County, New York city, New York",421,167,100,0,0,7,4,6,36,47,0,0,67,0,0,11,10,0,13,11,0,22,254,120,0,0,9,5,45,47,0,14,0,134,0,0,12,10,38,6,27,30,11
1,Total population,1580000US3651000005012701,3651000005012701,"Census Tract 127.01, Bronx County, New York city, New York",429,258,128,0,0,9,47,37,25,6,4,0,130,0,0,10,54,4,16,35,6,5,171,93,0,0,0,20,15,22,4,32,0,78,0,0,0,20,0,11,0,37,10
